Mass (GeV),N_eta,N_tracker
100,6709,1495
200,5296,1501
300,4491,1485
400,3795,1472
500,3526,1525
600,2995,1313
700,2682,1262
800,2359,1212
900,2202,1077
1000,1982,1096
