Mass (GeV),N_eta,N_tracker
100,6709,5478
200,5296,4775
300,4491,4169
400,3795,3653
500,3526,3436
600,2995,2949
700,2682,2628
800,2359,2343
900,2202,2198
1000,1982,1982
