Mass (GeV),N_eta,N_tracker
100,6709,6708
200,5296,5296
300,4491,4491
400,3795,3795
500,3526,3526
600,2995,2995
700,2682,2682
800,2359,2359
900,2202,2202
1000,1982,1982
